年度,縣市,離婚率
1998,臺北市,2.21
1998,臺東縣,2.14
1998,新北市,2.24
1998,南投縣,1.76
1998,臺南市,1.86
1998,新竹縣,1.92
1998,澎湖縣,1.46
1998,苗栗縣,1.73
1998,基隆市,2.72
1998,宜蘭縣,1.73
1998,新竹市,2.29
1998,高雄市,2.13
1998,花蓮縣,2.66
1998,彰化縣,1.16
1998,嘉義市,1.83
1998,臺中市,2.04
1998,屏東縣,1.73
1998,桃園市,2.32
1998,嘉義縣,1.45
1998,雲林縣,1.27
1998,連江縣,0.66
1998,金門縣,0.47
1999,臺北市,2.4
1999,臺東縣,2.5
1999,新北市,2.44
1999,南投縣,1.84
1999,臺南市,2.06
1999,新竹縣,2.14
1999,澎湖縣,1.65
1999,苗栗縣,1.86
1999,基隆市,3.12
1999,宜蘭縣,1.97
1999,新竹市,2.33
1999,高雄市,2.43
1999,花蓮縣,3.15
1999,彰化縣,1.37
1999,嘉義市,1.96
1999,臺中市,2.26
1999,屏東縣,2.19
1999,桃園市,2.56
1999,嘉義縣,1.58
1999,雲林縣,1.5
1999,連江縣,0.91
1999,金門縣,0.43
2000,臺北市,2.49
2000,臺東縣,2.76
2000,新北市,2.69
2000,南投縣,2.
2000,臺南市,2.16
2000,新竹縣,2.3
2000,澎湖縣,1.42
2000,苗栗縣,2.07
2000,基隆市,2.92
2000,宜蘭縣,2.01
2000,新竹市,2.39
2000,高雄市,2.55
2000,花蓮縣,3.12
2000,彰化縣,1.46
2000,嘉義市,2.14
2000,臺中市,2.49
2000,屏東縣,2.36
2000,桃園市,2.68
2000,嘉義縣,1.76
2000,雲林縣,1.68
2000,連江縣,0.9
2000,金門縣,0.49
2001,臺北市,2.6
2001,臺東縣,2.67
2001,新北市,2.8
2001,南投縣,2.23
2001,臺南市,2.19
2001,新竹縣,2.65
2001,澎湖縣,1.6
2001,苗栗縣,2.21
2001,基隆市,3.31
2001,宜蘭縣,2.26
2001,新竹市,2.66
2001,高雄市,2.81
2001,花蓮縣,3.04
2001,彰化縣,1.64
2001,嘉義市,2.27
2001,臺中市,2.63
2001,屏東縣,2.4
