place,time,magnitude,longitude,latitude,depth(km)
"5km NE of Langston, Oklahoma","2016-09-30T02:15:50Z","2.5","-97.2176","35.9876","6.35"
"55km WNW of Vallenar, Chile","2016-09-30T00:39:04Z","4.4","-71.2405","-28.308","50.44"
"19km SSE of Cantwell, Alaska","2016-09-30T00:00:55Z","3","-148.7601","63.2419","1.2"
"85km N of Road Town, British Virgin Islands","2016-09-29T23:28:54Z","3.4","-64.4649","19.173","59"
"148km ESE of Katsuura, Japan","2016-09-29T23:21:01Z","5","141.7414","34.5167","10"
"35km S of Moirai, Greece","2016-09-29T22:27:15Z","4.2","24.8037","34.7387","10"
"108km NNE of Chirikof Island, Alaska","2016-09-29T22:15:20Z","2.6","-155.0186","56.7354","40.6"
"284km S of Amahusu, Indonesia","2016-09-29T21:49:09Z","4.5","127.9128","-6.2896","357.38"
"44km NE of Cusuna, Honduras","2016-09-29T20:23:14Z","5.1","-84.9365","16.1287","10"
"45km N of Nikiski, Alaska","2016-09-29T19:43:25Z","3.2","-151.3736","61.0989","74.7"
"7km E of Fairview, Oklahoma","2016-09-29T18:08:35Z","3.4","-98.3976","36.2631","5"
"7km S of Bombay Beach, CA","2016-09-29T18:07:59Z","3.21","-115.7248333","33.2873333","4.83"
"67km S of Abancay, Peru","2016-09-29T17:39:02Z","4.1","-72.8086","-14.241","69.29"
"33km NE of Holy Cross, Alaska","2016-09-29T16:43:43Z","3.8","-159.2477","62.3731","14.8"
"38km ENE of Jayapura, Indonesia","2016-09-29T16:42:19Z","4.5","141.0159","-2.3844","22.1"
"27km S of Volcano, Hawaii","2016-09-29T15:27:20Z","2.77","-155.206","19.1976667","26.649"
"57km ENE of Atka, Alaska","2016-09-29T15:24:59Z","3","-173.4187","52.3867","86.07"
"41km SW of Ferndale, California","2016-09-29T14:13:00Z","2.79","-124.5656667","40.2815","19.3"
"20km ESE of Little Lake, CA","2016-09-29T12:59:29Z","3.04","-117.684","35.8976667","2.41"
"61km N of Isabela, Puerto Rico","2016-09-29T12:57:17Z","2.9","-67.013","19.055","37"
"61km NNE of Isabela, Puerto Rico","2016-09-29T12:52:55Z","2.9","-66.8786","19.041","9"
"66km E of Namie, Japan","2016-09-29T11:57:36Z","4.6","141.7563","37.4943","9.32"
"67km SSW of Port-Vila, Vanuatu","2016-09-29T11:53:04Z","4.5","168.0889","-18.2987","46.88"
"44km WNW of Piru, Indonesia","2016-09-29T10:27:36Z","4.6","127.8266","-2.9064","53.64"
"21km SSE of Ridgemark, California","2016-09-29T09:18:01Z","2.8","-121.2635","36.6413333","10.09"
"61km SSW of Santiago Pinotepa Nacional, Mexico","2016-09-29T08:56:18Z","5.1","-98.3336","15.8565","10"
"10km ESE of Cuajinicuilapa, Mexico","2016-09-29T08:55:20Z","5.2","-98.3295","16.4235","42.73"
"126km SSE of Lambasa, Fiji","2016-09-29T08:23:53Z","4.5","179.6723","-17.5231","585"
"35km N of Sutton-Alpine, Alaska","2016-09-29T06:51:40Z","2.8","-148.9076","62.115","16.6"
"20km SSE of Guanica, Puerto Rico","2016-09-29T06:43:07Z","2.5","-66.8198","17.8059","19"
"13km WNW of Pawnee, Oklahoma","2016-09-29T06:24:55Z","2.8","-96.9461","36.3821","6.46"
"28km SSW of Leilani Estates, Hawaii","2016-09-29T05:55:31Z","2.76","-155.0245","19.2278333","39.779"
"27km ENE of Winnemucca, Nevada","2016-09-29T04:51:31Z","2.6","-117.4365","41.0826","11.5"
"32km S of Elkford, Canada","2016-09-29T03:19:17Z","3.2","-114.841","49.758","1.2"
"114km S of Raoul Island, New Zealand","2016-09-29T01:34:03Z","5.3","-177.6886","-30.2864","10"
"67km NNW of Jayapura, Indonesia","2016-09-29T01:22:36Z","4.7","140.3983","-2.0011","10"
"78km E of Old Iliamna, Alaska","2016-09-29T01:21:59Z","2.5","-153.5307","59.8684","139.5"
"Southeast of Easter Island","2016-09-29T00:21:10Z","5.2","-103.8896","-35.5494","10"
"192km ENE of Saipan, Northern Mariana Islands","2016-09-28T23:49:33Z","5","147.4551","15.774","10"
"North of Ascension Island","2016-09-28T22:12:13Z","4.9","-17.7364","-0.0472","10"
"47km S of Kangding, China","2016-09-28T21:36:32Z","4.4","101.9783","29.6269","10"
"99km S of San Pedro de Atacama, Chile","2016-09-28T21:14:28Z","4.2","-68.051","-23.7987","124.85"
"150km SSW of Ndoi Island, Fiji","2016-09-28T20:37:00Z","5","-179.3803","-21.8458","571.09"
"54km ENE of Fritz Creek, Alaska","2016-09-28T20:07:24Z","3","-150.4501","59.9825","43.2"
"4km ENE of Butte, Montana","2016-09-28T19:02:27Z","2.51","-112.478","46.0235","-2"
"19km NE of La Paz Centro, Nicaragua","2016-09-28T16:48:55Z","5.5","-86.5337","12.4456","7.5"
"139km E of Shikotan, Russia","2016-09-28T16:32:57Z","4.8","148.4404","43.9989","43.02"
"134km SE of Pangai, Tonga","2016-09-28T16:31:29Z","5","-173.5164","-20.7309","10"
"78km SE of Lata, Solomon Islands","2016-09-28T16:16:12Z","4.8","166.3494","-11.2113","122.21"
"23km ENE of Mooreland, Oklahoma","2016-09-28T16:02:56Z","2.5","-98.9706","36.5323","3.29"
"11km ESE of East Foothills, California","2016-09-28T15:26:51Z","3.25","-121.6953333","37.3363333","8.13"
"16km SE of Mammoth Lakes, California","2016-09-28T12:57:34Z","3.06","-118.831337","37.5525017","8.96"
"59km NW of Farallon de Pajaros, Northern Mariana Islands","2016-09-28T12:50:34Z","5","144.5539","20.9656","44.61"
"13km SSW of Estacion Coahuila, B.C., MX","2016-09-28T11:18:18Z","3.23","-115.0768333","32.0978333","27.36"
"123km NNE of Vieques, Puerto Rico","2016-09-28T11:02:56Z","3","-65.4243","19.4664","88"
"228km ENE of Georgetown, Saint Helena","2016-09-28T09:41:17Z","4.9","-12.6309","-6.8804","10"
"24km W of Yonakuni, Japan","2016-09-28T09:38:12Z","4.8","122.7606","24.4737","91.58"
"7km E of Pamukkale, Turkey","2016-09-28T09:10:08Z","4.2","29.2049","37.9192","10"
"6km SSE of Bombay Beach, CA","2016-09-28T07:24:23Z","2.6","-115.7023333","33.3061667","3.86"
"4km S of Koroni, Greece","2016-09-28T07:17:32Z","5","21.9434","36.7573","10"
"30km NNE of Arecibo, Puerto Rico","2016-09-28T07:04:42Z","2.5","-66.6539","18.7451","8"
"75km NE of Kodiak, Alaska","2016-09-28T06:27:35Z","2.6","-151.4585","58.2401","12.7"
"49km WSW of Ferndale, California","2016-09-28T05:20:45Z","2.74","-124.7535","40.3361667","18.48"
"2km SSW of La Playa, Puerto Rico","2016-09-28T04:42:07Z","2.5","-67.1958","18.2707","29"
"6km SSE of Bombay Beach, CA","2016-09-28T02:33:50Z","3.27","-115.7166667","33.2973333","6.9"
"72km NNW of Larsen Bay, Alaska","2016-09-28T02:08:44Z","2.7","-154.63","58.0889","93.2"
"7km S of Morovis, Puerto Rico","2016-09-28T01:50:56Z","2.8","-66.411","18.2555","28"
"5km SSE of Bombay Beach, CA","2016-09-28T01:27:25Z","2.69","-115.7053333","33.3081667","4.31"
"6km E of Fairview, Oklahoma","2016-09-28T01:21:16Z","2.7","-98.406","36.2781","6.106"
"6km SSE of Bombay Beach, CA","2016-09-28T01:14:01Z","2.57","-115.7123333","33.299","5.51"
"6km SSE of Bombay Beach, CA","2016-09-28T01:13:03Z","3.49","-115.7053333","33.2988333","6.85"
"6km SSE of Bombay Beach, CA","2016-09-28T01:11:24Z","2.93","-115.714","33.2981667","5.28"
"6km SSE of Bombay Beach, CA","2016-09-28T01:05:51Z","3.64","-115.7118333","33.2986667","7.03"
"4km NE of Mooreland, Oklahoma","2016-09-28T00:49:10Z","2.8","-99.161","36.465","4.545"
"6km SSE of Bombay Beach, CA","2016-09-28T00:28:17Z","2.7","-115.7068333","33.3028333","3.29"
"119km ESE of Amatignak Island, Alaska","2016-09-27T23:19:23Z","2.6","-177.5317","50.8652","40.9"
"30km NW of Emponas, Greece","2016-09-27T20:57:07Z","5.2","27.5853","36.386","83.3"
"11km E of Nandaime, Nicaragua","2016-09-27T20:39:01Z","4.9","-85.9441","11.7566","181.42"
"133km ESE of Ohara, Japan","2016-09-27T19:22:25Z","4.6","141.6413","34.6372","24.44"
"161km NE of Bitung, Indonesia","2016-09-27T17:59:00Z","4.6","126.3192","2.3578","74.19"
"5km SE of Omvriaki, Greece","2016-09-27T17:53:01Z","4.2","22.3055","39.0582","8.51"
"52km SE of Old Faithful Geyser, Wyoming","2016-09-27T17:19:50Z","2.52","-110.3873333","44.1143333","7.28"
"70km NNW of Antofagasta, Chile","2016-09-27T17:07:27Z","4.6","-70.7148","-23.0853","24.55"
"63km NNW of Antofagasta, Chile","2016-09-27T16:49:58Z","4.8","-70.627","-23.1154","14.06"
"79km N of Tierras Nuevas Poniente, Puerto Rico","2016-09-27T16:44:35Z","2.8","-66.5169","19.177","42"
"South of the Fiji Islands","2016-09-27T16:43:18Z","4.4","178.6126","-26.2297","642.26"
"68km SSW of Pagan, Northern Mariana Islands","2016-09-27T16:22:55Z","5","145.581","17.5234","471.62"
"93km NNE of Awaran, Pakistan","2016-09-27T15:55:45Z","4.1","65.5972","27.2357","25.9"
"Mid-Indian Ridge","2016-09-27T15:34:55Z","4.9","78.5934","-35.224","10"
"20km S of Charlotte Amalie, U.S. Virgin Islands","2016-09-27T15:32:21Z","3.3","-64.949","18.1576","145"
"78km ENE of Cape Yakataga, Alaska","2016-09-27T15:27:35Z","2.6","-141.0674","60.2386","0"
"60km NNE of Calama, Chile","2016-09-27T14:17:38Z","4.1","-68.679","-21.979","105.9"
"6km SE of Bombay Beach, CA","2016-09-27T14:01:38Z","2.58","-115.6898333","33.3116667","2.95"
"112km N of Chirikof Island, Alaska","2016-09-27T13:58:55Z","2.9","-155.2938","56.8171","0"
"193km NW of Tobelo, Indonesia","2016-09-27T13:19:34Z","4.9","126.9028","3.0754","57.85"
"163km WSW of Lebu, Chile","2016-09-27T13:04:06Z","4.3","-75.3071","-38.2766","18.68"
"189km SW of Lorengau, Papua New Guinea","2016-09-27T12:49:33Z","4.8","145.9865","-3.1531","38.65"
"23km NE of Luquillo, Puerto Rico","2016-09-27T12:05:55Z","3","-65.5828","18.5438","85"
"152km SSE of L'Esperance Rock, New Zealand","2016-09-27T10:40:24Z","4.9","-178.1076","-32.6287","35"
"203km SSW of Ndoi Island, Fiji","2016-09-27T10:30:22Z","5.1","-179.7183","-22.2266","572.35"
"58km SE of Tanaga Volcano, Alaska","2016-09-27T10:25:15Z","4.3","-177.6599","51.4565","46.91"
"4km SSW of Palmarejo, Puerto Rico","2016-09-27T10:02:12Z","2.5","-67.0989","18.0079","15"
"133km ENE of Ndoi Island, Fiji","2016-09-27T10:01:07Z","4.8","-177.5089","-20.2072","521.1"
