word,count_zhou,count_chen
學生會,9,26
活動,11,18
學生,15,12
性別,23,2
校園,5,19
議題,11,13
台大,13,9
會長,6,13
政策,11,7
政見,10,5
大學生,5,9
社會,10,4
同學,6,8
學生自治,9,5
權益,8,5
想法,7,6
討論,7,5
候選人,4,7
絕對,9,2
多元,4,6
關注,5,5
推動,7,3
爭取,6,4
服務,8,1
努力,5,4
社團,5,4
參與,5,3
嘗試,1,7
過程,5,3
經驗,2,6
理念,5,3
社群,2,6
問題,7,1
協助,2,6
學習,7,1
政治,7,1
發現,5,2
改變,6,1
環境,3,4
機會,4,3
看見,4,3
想像,4,3
意見,4,3
大學,5,1
規劃,5,1
價值,5,1
空間,2,4
領域,5,1
秘書,2,4
認同,3,3
實踐,3,3
未來,1,5
選舉,4,2
學校,4,2
願意,1,5
支持,4,2
會議,2,3
積極,4,1
接觸,1,4
決心,3,2
力量,4,1
確實,3,2
聲音,2,3
選擇,2,3
意義,4,1
友善,1,4
政治系,4,1
代表,1,3
方向,1,3
交流,1,3
連結,3,1
能力,2,2
朋友,2,2
少數,3,1
世界,3,1
學生會長,3,1
直接,3,1
重要,1,3
背後,2,1
承諾,2,1
出發,1,2
帶領,2,1
第一印象,1,2
動力,2,1
法律系,1,2
放心,1,2
豐富,2,1
公共事務,2,1
計畫,2,1
檢視,2,1
競選,2,1
科系,1,2
理想,2,1
聯繫,1,2
目標,2,1
內容,2,1
期待,1,2
思考,2,1
投票,2,1
組織,1,2
