洲別,國家,105/12,105/11,105/10,105/09,105/08,105/07,105/06,105/05,105/04,105/03,105/02,105/01,104/12,104/11,104/10,104/09,104/08,104/07,104/06,104/05,104/04,104/03,104/02,104/01,103/12,103/11,103/10,103/09,103/08,103/07,103/06,103/05
亞洲,港澳,177870,126488,126344,118664,163646,149724,143276,125302,110716,164894,114431,93448,164275,118026,113549,118255,160829,142515,139920,124758,145479,114473,97216,74302,135024,99443,95217,105865,147903,132831,133550,116585
亞洲,大陸,220358,202986,215390,214764,248538,299805,271478,327254,375567,363878,405307,366409,327129,357655,386663,345243,367736,352625,308087,372766,358798,279703,406239,321458,346941,332517,347778,341729,312549,343709,315166,333845
亞洲,日本,183760,186045,167336,157828,187065,133795,130172,145428,129469,198744,132982,143078,169366,159431,149500,145835,143540,113133,118156,124464,111026,167074,104194,121510,151119,152171,141713,140574,148531,117564,119697,133438
亞洲,韓國,99578,82274,73819,72200,78023,71641,61599,64106,62668,56442,76407,85640,69555,59168,59864,46770,54320,45349,36696,54583,49826,49733,57692,75201,50255,48248,47984,37632,43865,36886,33830,38616
亞洲,印度,2564,3057,2907,2627,3133,2760,2659,3089,2794,3069,2543,2348,2352,2850,2556,3024,3022,2247,3352,2997,2788,3241,1903,1866,1974,2680,2199,3451,3277,2119,3415,2517
亞洲,中東,1570,1677,1763,1456,1601,1730,1279,2129,1940,1948,1233,1536,1404,1771,1623,1428,1467,1231,1657,1563,2042,2217,1081,1269,1301,1589,1634,1486,1532,1017,1931,1443
亞洲,馬來西亞,71759,54980,42186,40289,23685,26167,29746,35240,40557,47488,39395,22928,61103,50866,38029,36526,22249,23813,29873,30873,36651,51464,27877,22157,58883,46516,38458,36969,20194,26043,31066,36537
亞洲,新加坡,72216,52622,35141,27245,19165,21393,34467,29493,31510,38377,21304,24334,66871,49765,32529,26763,22286,21679,33712,30986,32384,35562,16558,23942,60552,45854,34510,23919,18154,20868,34808,30941
亞洲,印尼,20815,16376,15721,15634,14898,17157,17029,15097,13808,14226,13766,14193,17750,13431,14966,13263,13734,20922,15516,12161,13456,17409,12659,12476,19475,13015,14201,14952,14602,19901,17666,14579
亞洲,菲律賓,22533,15288,15665,12871,13130,12274,14145,15116,14676,13910,10527,12340,14710,11209,10626,9709,10814,10807,11779,13100,14054,13939,7945,10525,12811,10368,11519,11061,11340,10420,12403,13873
亞洲,泰國,31619,20831,23289,14084,13632,10281,11757,15712,18327,15922,11137,9049,16560,10476,13441,8466,8117,8645,8912,9874,13699,13114,5878,7227,11999,8597,9471,7944,7599,7144,8556,8766
亞洲,越南,22250,21026,18938,17100,17041,15432,15734,14674,15197,14437,15370,9437,12164,10882,10902,12414,12886,12936,12840,12095,13365,18379,8957,8560,10607,9957,10614,12017,12136,11765,13085,11108
亞洲,其它,3553,2874,3059,2923,2588,2101,1979,2193,2249,2411,1994,1663,2008,1893,2478,2393,1736,1532,1597,1723,1981,2453,1598,1264,1869,1662,2091,2084,1540,1365,1670,1422
美洲,加拿大,10253,11427,11471,6933,7642,8146,6090,9490,9283,10254,7552,7656,9798,9773,8261,5438,6694,6913,5914,7111,8533,9253,6843,6135,8587,9310,8860,6153,6608,7025,5791,7343
美洲,美國,56112,52438,46751,34572,38884,42862,47408,44098,42681,45683,34505,37894,49805,44932,42917,32151,35242,39315,43408,39335,43042,43347,33556,32402,45330,41224,41401,32079,33856,38345,43737,38328
美洲,墨西哥,180,267,332,197,293,314,203,311,309,313,190,229,204,248,257,189,287,299,248,242,365,360,208,156,164,272,301,400,259,225,281,196
美洲,巴西,531,286,497,244,337,301,251,321,379,385,245,394,370,296,335,220,328,251,408,264,532,462,284,370,401,293,541,313,350,233,321,329
美洲,阿根廷,129,90,141,76,63,66,84,143,90,120,105,174,181,90,94,82,57,76,85,94,120,123,72,115,117,66,192,117,53,60,93,68
美洲,其它,734,759,1011,1261,1029,737,840,932,866,728,1064,701,605,999,887,1119,836,727,751,786,768,820,810,594,456,704,916,1177,894,638,680,598
歐洲,比利時,575,695,774,545,451,635,456,468,469,682,423,454,470,632,595,449,436,585,411,379,713,629,380,422,405,600,480,412,368,539,450,370
歐洲,法國,3613,3793,4397,3077,3394,3733,2909,3430,3954,3513,3555,3012,3103,3541,3887,2635,3220,3489,2865,2716,3936,3400,3064,2508,2864,3316,3438,2749,2977,3288,3039,2702
歐洲,德國,4761,5998,6457,4772,4259,4117,3749,4394,4938,7466,4301,4586,4603,5526,5942,4383,4222,3660,3516,3909,4558,6942,3750,3943,4147,5506,5454,4302,4180,3534,3377,3783
歐洲,義大利,1371,1887,1807,1230,1256,1283,1210,1448,1474,1671,1188,1277,1198,1651,1632,1096,1152,1195,1239,1315,1400,1748,888,1101,1093,1730,1343,1264,1039,1153,1233,1312
歐洲,荷蘭,2226,2347,2508,1779,1862,2085,1454,1856,1963,1946,1515,1713,1660,2239,2026,1431,1477,1594,1441,1238,1584,1904,1225,1448,1535,1826,1820,1347,1323,1527,1355,1318
歐洲,瑞士,803,952,1237,775,704,995,628,742,986,993,711,699,835,917,1109,690,643,801,615,673,986,988,607,589,607,943,1042,702,614,715,626,632
歐洲,西班牙,945,1109,1024,907,952,899,766,828,875,980,726,675,714,948,859,696,909,778,706,614,759,950,551,581,661,825,798,652,755,693,759,594
歐洲,英國,4794,5335,5958,3970,4623,5051,4140,4999,5952,6200,4473,4372,4720,5538,5094,4118,4793,4629,4108,4216,7665,6117,3975,3811,4084,5267,6574,4572,4454,4512,4208,4484
歐洲,奧地利,497,676,612,515,579,637,457,477,560,728,564,565,496,662,666,462,575,590,355,459,586,566,398,428,474,664,601,420,423,481,389,528
歐洲,希臘,103,120,129,119,127,181,110,137,157,131,118,140,108,122,158,90,124,146,127,94,143,141,87,125,79,131,127,144,106,108,140,112
歐洲,瑞典,775,929,904,651,484,569,679,737,879,857,613,667,715,784,896,627,480,562,726,577,781,805,532,621,698,799,774,647,525,568,739,675
歐洲,俄羅斯,555,868,879,712,706,684,682,721,625,534,497,511,517,709,625,627,586,596,850,724,671,909,531,463,554,954,920,683,655,598,875,616
歐洲,其它,3861,4788,4898,3281,3320,3983,3022,3433,3709,3697,3399,3269,3423,3520,3944,3088,3000,3034,3048,2971,3670,3871,2681,2560,3046,3600,3865,2983,3373,3128,3171,2769
大洋洲,澳大利亞,10598,7527,9161,5865,4087,5068,5324,6240,7480,7752,5158,8101,10459,6754,6543,5594,4296,4600,5051,4809,9069,6941,4809,7197,10260,6278,7537,6432,4226,4786,5241,5274
大洋洲,紐西蘭,2006,1212,1183,1040,849,943,932,1035,1183,1034,928,1331,1805,1079,1078,847,856,881,906,887,1226,1047,985,1208,1697,1054,1106,995,755,1055,853,1004
大洋洲,其它,143,152,209,241,190,201,225,159,145,179,188,157,162,146,249,212,176,135,154,116,159,184,89,104,134,124,178,122,219,112,90,105
非洲,南非,547,340,402,327,624,446,352,352,409,311,562,405,566,339,358,243,590,395,315,297,465,519,523,283,471,294,346,330,558,355,309,259
非洲,其它,379,501,427,562,538,511,380,575,474,512,390,342,323,446,475,657,434,375,451,492,539,500,327,248,338,394,427,771,537,314,533,405
其它,其它,162,137,1144,905,142,162,129,406,1005,2315,789,203,810,169,1337,141,109,179,352,119,192,305,211,3102,1395,216,197,113,187,3077,830,261
