臺北市,臺東縣,新北市,南投縣,臺南市,新竹縣,澎湖縣,總計,苗栗縣,基隆市,年度,宜蘭縣,新竹市,高雄市,花蓮縣,臺灣地區,彰化縣,嘉義市,臺中市,屏東縣,桃園市,嘉義縣,雲林縣,連江縣,金門縣
"2.21","2.14","2.24","1.76","1.86","1.92","1.46","2.","1.73","2.72","1998","1.73","2.29","2.13","2.66","2.","1.16","1.83","2.04","1.73","2.32","1.45","1.27","0.66","0.47"
"2.4","2.5","2.44","1.84","2.06","2.14","1.65","2.23","1.86","3.12","1999","1.97","2.33","2.43","3.15","2.23","1.37","1.96","2.26","2.19","2.56","1.58","1.5","0.91","0.43"
"2.49","2.76","2.69","2.","2.16","2.3","1.42","2.37","2.07","2.92","2000","2.01","2.39","2.55","3.12","2.38","1.46","2.14","2.49","2.36","2.68","1.76","1.68","0.9","0.49"
"2.6","2.67","2.8","2.23","2.19","2.65","1.6","2.53","2.21","3.31","2001","2.26","2.66","2.81","3.04","2.54","1.64","2.27","2.63","2.4","2.98","1.92","1.77","0.77","0.87"
"2.8","2.92","3.04","2.32","2.37","2.78","2.","2.73","2.51","3.48","2002","2.46","2.72","3.03","3.35","2.73","1.74","2.71","2.73","2.64","3.13","2.14","2.07","1.02","1.1"
"2.71","3.14","3.23","2.57","2.59","2.73","2.02","2.87","2.57","3.63","2003","2.47","2.96","3.22","4.13","2.88","1.92","2.79","2.91","2.93","3.19","2.29","2.28","0.8","0.95"
"2.61","3.01","3.07","2.5","2.51","2.86","2.06","2.77","2.54","3.28","2004","2.45","2.82","3.12","4.07","2.78","1.79","2.66","2.76","2.91","3.14","2.35","2.1","1.87","0.92"
"2.52","2.87","3.05","2.38","2.51","2.71","2.03","2.75","2.56","3.5","2005","2.49","2.65","3.04","3.75","2.76","1.84","3.","2.75","2.8","3.22","2.38","2.27","1.22","1.04"
"2.64","2.89","3.15","2.54","2.53","2.99","2.36","2.83","2.57","3.3","2006","2.66","2.78","3.11","3.51","2.83","1.94","2.86","2.81","2.74","3.36","2.59","2.2","1.69","1.35"
"2.38","2.76","2.83","2.42","2.3","2.58","2.28","2.55","2.37","2.87","2007","2.39","2.57","2.67","3.05","2.56","1.85","2.31","2.55","2.55","3.11","2.14","2.19","1.52","1.42"
"2.23","2.56","2.74","2.15","2.25","2.48","1.87","2.43","2.32","2.84","2008","2.23","2.48","2.63","2.95","2.44","1.76","2.31","2.41","2.29","2.88","2.06","2.","1.02","1.43"
"2.3","2.61","2.76","2.36","2.24","2.45","2.1","2.48","2.37","2.74","2009","2.25","2.58","2.68","2.86","2.48","1.78","2.43","2.44","2.54","2.9","2.25","2.01","0.81","1.32"
"2.33","2.58","2.81","2.26","2.21","2.54","2.05","2.51","2.3","3.05","2010","2.37","2.46","2.64","3.05","2.52","1.8","2.53","2.49","2.38","3.08","2.34","2.07","1.21","1.22"
"2.22","2.45","2.78","2.32","2.29","2.45","1.96","2.46","2.32","2.8","2011","2.38","2.29","2.6","2.64","2.47","1.77","2.52","2.42","2.45","2.95","2.22","2.","1.2","0.95"
"2.19","2.44","2.7","2.12","2.26","2.62","2.04","2.41","2.24","2.8","2012","2.11","2.47","2.55","2.54","2.41","1.74","2.45","2.39","2.26","2.88","2.14","2.01","0.93","1.04"
"2.03","2.68","2.57","2.","2.12","2.39","2.11","2.3","2.23","2.69","2013","2.02","2.28","2.39","2.66","2.3","1.72","2.35","2.29","2.2","2.77","2.08","1.95","1.02","1.15"
"2.05","2.53","2.49","2.2","2.08","2.46","1.91","2.27","2.31","2.59","2014","2.12","2.15","2.3","2.92","2.28","1.73","2.27","2.32","2.19","2.65","2.01","1.98","1.38","1.71"
